Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
10-13-25,Tata Capital Ltd,15511.9,3.42,1.98,1.10 ,1.95,326,330,1.23,299.95,299.7,-7.99
10-10-25,Wework India Manag...,3000,1.79,0.23,0.61 ,1.15,648,0,#VALUE!,566,565.1,-12.65
10-08-25,Advance Agrolife L...,192.86,27.31,175.3,23.06 ,56.85,100,113,13,104.75,104.34,4.75
10-07-25,Fabtech Technologi...,230.35,2.02,1.97,2.08 ,2.03,191,191,0,151.15,151.14,-20.86
10-07-25,Glottis Ltd,307,1.87,2.97,1.42 ,2.05,129,88,-31.78,69.11,69.43,-46.43
10-08-25,Om Freight Forward...,122.31,3.97,7.39,2.75 ,3.87,135,82.5,-38.89,88.58,89.06,-34.39
10-06-25,Pace Digitek Ltd,819.35,1.6,2.9,1.03 ,1.59,219,226.85,3.58,190.1,190.26,-13.2
10-03-25,Jinkushal Industri...,116.15,35.66,146.39,47.10 ,65.1,121,125,3.31,86,84.47,-28.93
10-03-25,TruAlt Bioenergy L...,839.28,159.22,98.56,11.00 ,71.92,496,550,10.89,495,495.1,-0.2
10-01-25,Jain Resource Recy...,1250,25.29,5.3,3.62 ,15.9,232,265.25,14.33,385.6,384.85,66.21
10-01-25,EPack Prefab Techn...,504,5.1,3.68,1.69 ,3.07,204,186.1,-8.77,189.35,189.38,-7.18
10-01-25,BMW Ventures Ltd,231.66,3.09,3.03,0.99 ,1.5,99,80,-19.19,60.92,60.8,-38.46
09-30-25,Anand Rathi Share ...,745,43.8,28.6,4.78 ,20.66,414,432.1,4.37,527.35,527.5,27.38
09-30-25,Seshaasai Technolo...,813.07,189.63,49.89,9.17 ,68.13,423,436,3.07,264.5,265.9,-37.47
09-30-25,Solarworld Energy ...,490,70.43,64.73,49.15 ,65.01,351,389,10.83,221.4,221.06,-36.92
09-30-25,Jaro Institute of ...,450,35.35,35.48,8.71 ,22.06,890,890,0,581.8,581.05,-34.63
09-29-25,Atlanta Electrical...,687.85,194.92,54.2,10.42 ,70.63,754,858.1,13.81,1667.35,1668.8,121.13
09-29-25,Ganesh Consumer Pr...,408.8,4.18,4.34,1.15 ,2.67,322,295,-8.39,209.25,209.33,-35.02
09-26-25,GK Energy Ltd,464.26,186.29,122.73,20.79 ,89.62,153,165,7.84,125.65,125.56,-17.88
09-26-25,Saatvik Green Ener...,900,10.84,10.04,2.66 ,6.57,465,460,-1.08,431.2,432.3,-7.27
09-25-25,Ivalue Infosolutio...,560.29,3.18,1.26,1.28 ,1.82,299,285,-4.68,243.55,244.55,-18.55
09-24-25,VMS TMT Ltd,148.5,120.8,227.09,47.88 ,102.26,99,105,6.06,47.81,47.77,-51.71
09-23-25,Euro Pratik Sales ...,451.31,1.05,1.92,1.23 ,1.34,247,273.45,10.71,257.75,259.6,4.35
09-17-25,Dev Accelerator Lt...,143.35,20.3,87.97,164.72 ,63.97,61,61.3,0.49,39.29,39.05,-35.59
