Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
11-29-23,Indian Renewable Energy Development Agency Limited (IREDA),2150.21,104.57,24.16,7.73,38.8,32,50,56.25,145,144.95,353.13
11-15-23,ASK Automotive Limited,833.91,142.41,35.47,5.7,51.14,282,304.9,8.12,465.1,465.15,64.93
11-13-23,Protean eGov Technologies Limited,489.95,46.94,31.62,8.93,23.86,792,792,0,719.8,722.85,-9.12
11-10-23,ESAF Small Finance Bank Limited,463,173.52,84.37,16.97,73.15,60,71.9,19.83,30.03,29.98,-49.95
11-07-23,Honasa Consumer Limited (Mamaearth),1701.44,11.5,4.02,1.35,7.61,324,324,0,265.55,267.25,-18.04
11-06-23,Cello World Limited,1900,108.57,24.42,3.06,38.9,648,831,28.24,563.9,562,-12.98
11-01-23,Blue Jet Healthcare Limited,840.27,13.72,13.59,2.24,7.95,346,359.9,4.02,780.55,782.75,125.59
10-26-23,IRM Energy Limited,544.36,44.73,48.34,9.29,27.05,505,479,-5.15,277,277.8,-45.15
10-12-23,Plaza Wires Limited,71.28,42.84,388.09,374.81,160.97,54,84,55.56,56.01,56.02,3.72
10-06-23,Valiant Laboratories Limited,152.46,20.83,73.64,16.06,29.76,140,161,15,95,94.2,-32.14
10-03-23,JSW Infrastructure Limited,2800,57.09,15.99,10.32,37.37,119,143,20.17,295.95,295.95,148.7
10-04-23,Updater Services Limited,640,4.48,0.85,1.39,2.9,300,299.9,-0.03,260,259.8,-13.33
10-03-23,Manoj Vaibhav Gems,270.2,1.06,5.18,1.66,2.25,215,215,0,205.7,205.77,-4.33
09-27-23,Signature Global India Limited,730,12.71,13.54,6.82,11.88,385,445,15.58,"1,113.75","1,112.50",189.29
09-27-23,Sai Silks (Kalamandir) Limited,1201,12.35,2.47,0.88,4.4,222,230.1,3.65,171.3,171.11,-22.84
09-28-23,Yatra Online Limited,775,2.05,0.42,2.11,1.61,142,130,-8.45,130.67,129.82,-7.98
09-22-23,Samhi Hotels Limited,1370.1,8.82,1.22,1.11,5.33,126,130.55,3.61,219.65,220.24,74.33
09-22-23,Zaggle Prepaid Ocean Limited,563.38,16.73,8.85,5.94,12.57,164,162,-1.22,376.8,376.8,129.76
09-20-23,R R Kabel Limited,1964.01,52.26,13.23,2.13,18.69,"1,035.00","1,179.00",13.91,"1,211.30","1,209.80",17.03
09-21-23,EMS Limited,321.25,0.67,29.73,16.62,15.05,211,281.55,33.44,580.5,580.2,175.12
09-18-23,Jupiter Life Line Limited,869.08,187.32,34.75,7.73,63.72,735,960,30.61,"1,406.65","1,408.00",91.38
09-11-23,Ratnaveer Precision Limited,165.03,133.05,135.21,54.01,93.99,98,128,30.61,138.5,138.79,41.33
09-11-23,Rishabh Instruments Limited,490.78,72.54,31.29,8.44,31.65,441,460,4.31,286.45,287.25,-35.05
09-05-23,Vishnu Prakash R P Limited,308.61,171.69,111.03,32.02,87.82,99,163.3,64.95,155.2,155.72,56.77
08-31-23,Aeroflex Industries Limited,351,194.73,126.13,34.41,97.11,108,197.4,82.78,180.75,180.5,67.36
08-29-23,Pyramid Technoplast Limited,153.05,9.94,32.24,14.72,18.29,166,185,11.45,160.45,160.75,-3.34
08-23-23,TVS Supply Chain Solutions Limited,880,1.35,2.35,7.61,2.78,197,206.3,4.72,132.4,132.39,-32.79
08-18-23,Concord Biotech Limited,1550.52,67.67,16.99,3.78,24.87,741,900.05,21.46,"1,624.00","1,617.60",119.16
08-16-23,SBFC Finance Limited,1025,192.9,49.09,10.99,70.16,57,81.99,43.84,104.4,104.25,83.16
08-07-23,Yatharth Hospital & Trauma Care Services Limited,686.55,85.1,37.22,8.34,36.16,300,304,1.33,717,717.5,139
07-27-23,Netweb Technologies India Limited,631,228.91,81.81,19.15,90.36,500,942.5,88.5,"2,111.50","2,115.00",322.3
07-21-23,Utkarsh Small Finance Bank Limited,500,124.85,81.64,72.11,101.91,25,39.95,59.8,20.75,20.7,-17
07-14-23,Senco Gold Limited,405,180.94,64.99,15.46,73.35,317,431,35.96,337,338.35,6.31
07-10-23,Cyient DLM Limited,592,90.44,45.05,49.22,67.31,265,401,51.32,430,428.7,62.26
07-07-23,Ideaforge Technologies Limited,567.25,125.81,80.58,85.2,106.06,672,"1,305.10",94.21,459.25,462,-31.66
07-04-23,HMA Agro Industries Limited,480,1.74,2.97,0.96,1.62,585,615,5.13,30.5,30.64,-94.79
06-16-23,IKIO Technologies Limited (formerly IKIO Lighting Limited),606.5,163.58,63.35,13.86,66.3,285,391,37.19,189.5,189.6,-33.51
05-19-23,Nexus Select Trust,3200,0,0,0,3.61,100,102.27,2.27,149.01,149.03,49.01
05-09-23,Mankind Pharma Limited,4326.36,49.16,3.8,0.92,15.32,"1,080.00","1,300.00",20.37,"2,447.30","2,442.30",126.6
04-18-23,Avalon Technologies Limited,865,3.57,0.41,0.84,2.21,436,431,-1.15,884.2,890,102.8
04-03-23,Udayshivakumar Infosolutions Limited,66,40.47,60.42,14.1,30.63,35,35,0,36,36.23,2.86
03-23-23,Global Surfaces Limited,154.98,8.95,33.1,5.12,12.21,140,163,16.43,122.9,123.42,-12.21
03-14-23,Divgi Torqtransfer Systems Limited,412.12,7.83,1.4,4.31,5.44,590,600,1.69,649.05,652.25,10.01
01-12-23,Sah Polymers Limited,66.3,2.4,32.69,39.78,17.46,65,85,30.77,114.5,115,76.15
01-04-23,Radiant Cash Management Services Limited,256.64,1.01,0.66,0.21,0.53,94,99.3,5.64,54.18,54.13,-42.36
12-30-22,Elin Electronics Limited,475,4.51,3.29,2.2,3.09,247,243,-1.62,171.9,170,-30.4
12-29-22,KFin Technologies Limited,1500,4.17,0.23,1.36,2.59,366,369,0.82,"1,088.35","1,095.30",197.36
12-23-22,Landmark Cars Limited,552,8.71,1.32,0.59,3.06,506,471.3,-6.86,491.95,490,-2.78
12-23-22,Abans Financial Services Limited,345.6,4.1,1.48,0.4,1.1,270,270,0,221.45,220.51,-17.98
12-22-22,Sula Vineyards Limited,960.35,4.13,1.51,1.65,2.33,357,358,0.28,250,249.9,-29.97
12-12-22,Uniparts India Limited,835.61,67.14,17.86,4.63,25.32,577,575,-0.35,390.9,390.6,-32.25
12-08-22,Dharmaj Crop Guard Limited,251.09,48.21,52.29,21.53,35.49,237,266,12.24,319.5,321,34.81
11-24-22,Keystone Realtors Limited,635,3.84,3.03,0.53,2.01,541,555,2.59,603.75,609,11.6
11-23-22,Inox Green Energy Limited,740,1.05,0.47,4.7,1.55,65,60.5,-6.92,160,160.73,146.15
11-22-22,Kaynes Technology India Limited,857.82,98.47,21.21,4.1,34.16,587,775,32.03,"5,855.85","5,865.00",897.59
11-21-22,Archean Chemical Industries Limited,1462.31,48.91,14.9,9.96,32.23,407,449,10.32,625,626.55,53.56
11-21-22,Five Star Business Finance Limited,1588.51,1.77,0.61,0.11,0.7,474,449.95,-5.07,575.9,577.45,21.5
11-16-22,Bikaji Foods International Limited,880.85,80.63,7.1,4.77,26.67,300,321.15,7.05,725.95,724.35,141.98
11-16-22,Global Health Limited,2205.57,28.64,4.02,0.88,9.58,336,398.15,18.5,"1,380.90","1,383.00",310.98
11-15-22,Fusion Finance Ltd,1103.99,8.59,1.38,0.51,2.95,368,360.5,-2.04,154.05,153.26,-58.14
11-11-22,DCX Systems Ltd,500,84.32,43.97,61.77,69.79,207,286.25,38.29,251.75,251.8,21.62
10-20-22,Tracxn Technologies,309.38,1.66,0.23,2.39,0.71,80,83,3.75,52.81,52.85,-33.99
10-17-22,Electronics Mart India,500,169.54,63.59,19.72,71.93,59,89.4,51.53,119.4,119.28,102.37
09-26-22,Harsha Engineers,755,178.26,40.36,12.44,47.19,330,444,34.55,415,414.8,25.76
09-15-22,Tamilnad Mercantile,807.84,1.62,2.94,6.48,2.86,510,510,0,429.5,429,-15.78
09-06-22,Dreamfolks Services,562.1,70.53,37.66,43.66,56.68,326,505,54.91,143.9,144.48,-55.86
08-26-22,Syrma SGS Technologies,840.13,87.56,7.13,2.84,15.59,220,262,19.09,699,701.55,217.73
06-03-22,Aether Industries,808.04,17.57,1.33,0.59,2.91,642,706.15,9.99,731.45,731.4,13.93
06-01-22,eMudhra Ltd,412.79,4.05,1.28,2.61,2.72,256,271,5.86,762,762,197.66
05-30-22,Ethos Limited,402.26,1.06,0.76,0.32,0.61,878,830,-5.47,"2,781.25","2,787.10",216.77
05-27-22,Paradeep Phosphates Limited,1501.73,3.01,0.32,0.8,0.83,42,43.55,3.69,218.45,217.73,420.12
05-24-22,Venus Pipes & Tubes Limited,165.42,12.02,6.59,11.12,8.69,326,335,2.76,"1,356.00","1,351.20",315.95
05-24-22,Delhivery Limited,5235,2.66,0.27,0.31,0.39,487,493,1.23,464.9,465.45,-4.54
05-20-22,Prudent Corporate Advisory Services Limited,537.94,1.26,0.74,0.61,0.81,630,660,4.76,"2,665.65","2,683.70",323.12
05-17-22,Life Insurance Corporation of India (LIC),20557.2,2.83,1.39,1.14,1.64,949,867.2,-8.62,918.7,918.2,-3.19
05-10-22,Rainbow Children’s Medicare Limited,1580.85,38.9,1.37,0.7,5.25,542,506,-6.64,"1,534.90","1,534.20",183.19
05-09-22,Campus Activewear (India) Limited,1399.6,152.04,10.68,4.73,28.55,292,355,21.58,260.6,260.15,-10.75
04-13-22,Hariom Pipe Industries Limited,130.05,1.91,2.68,6.92,3.57,153,214,39.87,513.3,514.15,235.49
04-11-22,Veranda Learning Solutions Limited,200,2.02,2.09,5.68,2.24,137,157,14.6,228.75,228.5,66.97
04-07-22,Uma Exports Limited,60,2.81,0.94,6.28,4.64,68,80,17.65,46.25,46.17,-31.99
04-08-22,Patanjali Foods Limited (formerly Ruchi Soya Industries Limited),4300,2.2,11.75,0.9,3.6,650,850,30.77,"1,811.90","1,806.50",178.75
02-16-22,Vedant Fashions Limited,3149.19,7.49,1.07,0.39,2.57,866,936,8.08,741.95,740.2,-14.32
02-08-22,AWL Agri Business Limited (formerly Adani Wilmar Limited),3600,5.73,56.3,3.92,17.37,230,221,-3.91,254,254.2,10.43
01-31-22,AGS Transact Technologies Limited,680,2.68,25.61,3.08,7.79,175,176,0.57,5.22,5.3,-97.02
12-31-21,CMS Info Systems Limited,1100,1.98,1.45,2.15,1.95,216,218.5,1.16,437.65,438,102.62
12-28-21,Supriya Lifescience Limited,700,31.83,161.22,56.01,71.51,274,425,55.11,656.85,656.45,139.73
12-27-21,HP Adhesives Limited,125.96,1.82,19.04,81.24,20.96,274,319,16.42,46,46.16,-83.21
12-24-21,Data Patterns (India) Limited,588.22,190.86,254.22,23.14,119.62,585,864,47.69,"2,523.15","2,525.00",331.31
12-23-21,MedPlus Health Services Limited,1398.3,111.9,85.33,5.24,52.59,796,"1,015.00",27.51,811.65,813.15,1.9722
12-21-21,C.E. Info Systems Limited (MapmyIndia),1039.61,196.36,424.69,15.2,154.71,"1,033.00","1,581.00",53.05,"1,798.55","1,798.80",74.11
12-20-21,Shriram Properties Limited,600,1.85,4.82,12.72,4.6,118,94,-20.34,90.3,90.56,-23.47
12-17-21,Rategain Travel Technologies Limited,1335.74,8.42,42.04,8.08,17.41,425,364.8,-14.16,482.2,482.4,13.46
12-14-21,Anand Rathi Wealth Limited,659.38,2.5,25.42,7.76,9.78,550,602.05,9.46,"2,736.05","2,735.90",397.46
12-13-21,Tega Industries Limited,619.23,215.45,666.19,29.44,219.04,453,753,66.23,"1,801.55","1,804.10",297.69
12-10-21,Star Health and Allied Insurance Company Limited,6400.44,1.03,0.19,1.1,0.79,900,848.8,-5.69,436.3,436.8,-51.52
11-30-21,Go Fashion (India) Limited,1013.61,100.73,262.08,49.7,135.46,690,"1,316.00",90.72,700.85,700.1,1.57
11-26-21,Tarsons Products,1023.47,115.77,184.58,10.56,77.49,662,700,5.74,372.35,373.05,-43.75
11-23-21,Latent View Analytics,600,145.48,850.66,119.44,326.49,197,530,169.04,397.5,395.4,101.78
11-18-21,Sapphire Foods India,2073.25,7.5,3.46,8.7,6.62,"1,180.00","1,311.00",11.1,321.25,320.55,-72.78
11-18-21,One97 Communications,18300,2.79,0.24,1.66,1.89,"2,150.00","1,955.00",-9.07,"1,103.45","1,095.50",-48.68
11-15-21,PB Fintech,5709.72,24.89,7.82,3.31,16.59,980,"1,150.00",17.35,"1,830.75","1,832.50",86.81
11-15-21,S.J.S Enterprises Limited,800,1.42,2.32,1.38,1.59,542,540,-0.37,"1,184.15","1,187.10",118.48
11-15-21,Sigachi Industries Limited,125.43,86.51,172.43,80.49,101.91,163,575,252.76,31.63,31.65,-80.6
11-12-21,Fino Payments Bank Limited,1200.29,1.65,0.21,5.92,2.03,577,548,-5.03,251.6,251.65,-56.4
11-10-21,FSN E Commerce Ventures Limited (Nykaa),5349.72,91.18,112.02,12.24,81.78,"1,125.00","2,001.00",77.87,202.9,203.08,-81.96
10-11-21,Aditya Birla Sun Life AMC Limited,2768.26,10.36,4.39,3.24,5.24,712,712,0,847.9,848.4,19.09
10-01-21,Paras Defence and Space Technologies Limited,170.78,169.65,927.7,112.81,304.26,175,475,171.43,652.05,652.2,272.6
09-24-21,Sansera Engineering Limited,1282.52,0.29,0.07,0.87,0.53,744,811.35,9.05,"1,277.65","1,275.00",71.73
09-14-21,Vijaya Diagnostic Centre Limited,1894.26,13.07,1.32,1.09,4.54,531,542.3,2.13,"1,055.50","1,056.40",98.78
09-14-21,Acutaas Chemicals Limited,569.64,86.64,154.81,13.36,64.54,610,902,47.87,"1,300.70","1,294.40",113.23
08-24-21,Aptus Value Housing Finance India Limited,2780.05,32.41,33.91,1.35,17.2,353,329.95,-6.53,336.65,337,-4.63
08-24-21,Chemplast Sanmar Limited,3850,2.7,1.03,2.29,2.17,541,525,-2.96,409.15,409.85,-24.37
08-23-21,Nuvoco Vistas Corporation Limited,5000,4.23,0.66,0.73,1.71,570,471,-17.37,450.75,451.9,-20.92
08-20-21,CarTrade Tech Limited,2998.51,35.45,41,2.75,20.29,"1,618.00","1,600.00",-1.11,"2,281.45","2,280.00",41
08-16-21,Devyani International Limited,1838,95.27,213.06,39.52,116.71,90,141,56.67,154.55,154.54,71.72
08-16-21,Windlas Biotech Limited,401.54,24.4,15.73,24.27,22.47,460,439,-4.57,929.1,929.5,101.98
08-16-21,Exxaro Tiles Limited,160.77,17.67,5.36,40.1,22.68,120,126,5,7.85,7.82,-93.46
08-16-21,Krsnaa Diagnostics Limited,1213.34,49.83,116.3,42.04,64.4,954,"1,025.00",7.44,836,831.7,-12.37
08-09-21,Rolex Rings Limited,731.1,143.58,360.11,24.49,130.44,900,"1,249.00",38.78,"1,379.60","1,385.30",53.29
08-06-21,Alivus Life Sciences Limited,1513.6,36.97,122.54,14.63,44.17,720,751.1,4.32,937.7,937.5,30.24
07-29-21,Tatva Chintan Pharma Chem Limited,500,185.23,512.22,35.35,180.36,"1,083.00","2,111.80",95,"1,036.25","1,038.90",-4.32
07-23-21,Eternal Limited,9375,51.79,32.96,7.45,38.25,76,115,51.32,305.6,304.75,302.11
07-19-21,G R Infraprojects Limited,962.33,75.4,165.03,7.69,59.1,837,"1,700.00",103.11,"1,242.35","1,240.80",48.43
07-19-21,Clean Science and Technology Limited,1546.62,70.31,110.28,5.71,46.57,900,"1,784.40",98.27,"1,174.90","1,173.50",30.54
07-05-21,India Pesticides Limited,800,42.95,51.88,11.3,29.04,296,360,21.62,219.8,219.79,-25.74
06-28-21,Dodla Dairy Limited,520.18,84.88,73.26,11.33,45.61,428,528,23.36,"1,299.00","1,301.10",203.5
06-28-21,Krishna Institute of Medical Sciences Limited,2143.74,5.26,1.89,2.9,3.86,825,"1,008.90",22.29,729.9,728.6,-11.53
06-24-21,Sona BLW Precision Forgings Limited,5550,3.46,0.39,1.57,2.28,291,302.4,3.92,447.85,448.25,53.9
06-24-21,Shyam Metalics and Energy Limited,908.55,155.71,339.98,11.58,121.4,306,367,19.93,944.65,946.15,208.71
05-14-21,Powergrid Infrastructure Investment Trust,7734.99,4.63,5.07,0,4.83,100,104,4,91.25,91.2,-8.75
04-19-21,Macrotech Developers Limited (Lodha Group),2500,3.05,1.44,0.4,1.36,486,439,-9.67,"1,222.50","1,223.30",151.54
04-07-21,Barbeque Nation Hospitality Limited,452.87,5.11,3.1,13.13,5.98,500,492,-1.6,256.35,256.2,-48.73
03-30-21,Nazara Technologies Limited,582.69,103.77,389.89,75.29,175.46,"1,101.00","1,971.00",79.02,"1,415.90","1,416.00",28.6
03-26-21,Suryoday Small Finance Bank Limited,580.84,2.18,1.31,3.09,2.37,305,293,-3.93,123.25,123.08,-59.59
03-26-21,Kalyan Jewellers India Limited,1174.82,2.76,1.91,2.82,2.61,87,73.9,-15.06,521.35,523.75,499.25
03-25-21,Craftsman Automation Limited,823.7,5.21,2.84,3.43,3.81,"1,490.00","1,350.00",-9.4,"6,844.85","6,842.00",359.39
03-25-21,Laxmi Organic Industries Limited,600,175.43,217.62,20.06,106.79,130,156.2,20.15,183.5,183.7,41.15
03-24-21,Anupam Rasayan India Limited,760,65.74,97.42,10.77,44.06,555,534.7,-3.66,"1,135.30","1,138.00",104.56
03-19-21,Easy Trip Planners Limited,510,77.53,382.21,70.4,159.33,187,206,10.16,9.25,9.27,-95.05
03-15-21,MTAR Technologies Limited,596.41,164.99,650.79,28.4,200.79,575,"1,063.90",85.03,"1,475.00","1,476.30",156.52
03-05-21,Heranba Industries Limited,625.24,67.45,271.15,11.84,83.29,627,900,43.54,353.1,355,-43.68
02-26-21,Railtel Corporation of India Limited,819.24,65.14,73.25,16.78,42.39,94,104.6,11.28,350.05,350.7,272.39
02-25-21,Nureca Limited,100,3.1,31.59,166.65,39.93,400,634.95,58.74,238.05,236.34,-40.49
02-16-21,Brookfield India Real Estate Trust,3800,4.78,11.74,0,7.94,275,275.05,0.02,313.46,313.45,13.99
02-05-21,Stove Kraft Limited,412.63,8.02,32.72,26.04,18.03,385,467,21.3,587.65,587.05,52.64
02-03-21,Home First Finance Company India Limited,1153.72,52.53,39,6.59,26.66,518,612.15,18.18,"1,246.25","1,250.00",140.59
02-02-21,Indigo Paints Limited,1169.12,189.57,263.05,15.93,117.02,"1,490.00","2,607.50",75,"1,105.85","1,101.70",-25.78
01-29-21,Indian Railway Finance Corporation Limited,4633.38,3.78,2.67,3.66,3.49,26,25,-3.85,126.4,126.3,386.15
01-01-21,Antony Waste Handling Cell Ltd,299.99,0.89,0.26,0.37,0.49,315,430,36.51,581.45,577.35,84.59
12-24-20,Mrs Bectors Food Specialities Ltd,540.54,176.85,620.86,29.33,198.02,288,501,73.96,"1,441.20","1,444.70",400.42
12-14-20,Restaurant Brands Asia Ltd,810,86.64,354.11,68.15,156.65,60,115.35,92.25,77.97,77.85,29.95
11-20-20,Gland Pharma Ltd,6479.55,6.4,0.51,0.24,2.06,"1,500.00","1,701.00",13.4,"1,930.25","1,933.70",28.68
11-02-20,Equitas Small Finance Bank Ltd,517.6,3.91,0.22,2.08,1.95,33,31,-6.06,55,54.89,66.67
10-12-20,UTI Asset Management Company Ltd,2159.88,3.34,0.93,2.32,2.31,554,490.25,-11.51,"1,331.10","1,333.00",140.27
10-15-20,Likhitha Infrastructure Ltd,61.2,21.99,1.54,23.71,9.51,120,130.1,8.42,253.6,253.85,111.33
10-12-20,Mazagon Dock Shipbuilders Ltd,443.69,89.71,678.88,35.63,157.41,145,216.25,49.14,"2,698.30","2,701.10","1,760.90"
10-05-20,Angel One Ltd,600,3.07,0.11,1.83,1.81,306,275,-10.13,"2,527.55","2,531.70",726
10-01-20,Computer Age Management Services Ltd,2242.11,73.18,111.85,5.55,46.99,"1,230.00","1,518.00",23.41,"3,793.80","3,790.00",208.44
10-01-20,Chemcon Speciality Chemicals Ltd,318,113.54,449.14,41.21,149.33,340,730.95,114.99,231.95,231.15,-31.78
09-21-20,Route Mobile Ltd,600,89.76,192.81,12.67,73.3,350,708,102.29,874.85,874.1,149.96
09-17-20,Happiest Minds Technologies Ltd,702.02,77.43,351.46,70.94,150.98,166,351,111.45,581.3,580.15,250.18
08-07-20,Mindspace Business Parks REIT,4500,NA,NA,NA,NA,275,304,10.55,415.05,415.4,50.93
07-27-20,Yes Bank Ltd,15000,1.9,0.63,0.47,0.93,12,12.3,2.5,18.79,18.76,56.58
07-23-20,Rossari Biotech Ltd,496.25,85.26,239.83,7.23,79.37,425,670,57.65,636.05,635.8,49.66
03-16-20,SBI Cards & Payment Services Ltd,10340.8,57.18,45.23,2.5,26.54,755,658,-12.85,797.85,798.4,5.68
12-30-19,Prince Pipes and Fittings Ltd,500,3.54,1.21,1.89,2.21,178,160,-10.11,291.35,291.1,63.68
12-12-19,Ujjivan Small Finance Bank Ltd,745.95,110.72,473,49.09,165.69,37,58,56.76,43.27,43.28,16.95
12-04-19,CSB Bank Ltd,409.68,62.18,164.68,44.53,86.93,195,275,41.03,412.8,411.35,111.69
10-15-19,Vishwaraj Sugar Industries Ltd,60,1,1.76,0.64,1.12,60,61.2,2,8.9,8.92,-85.17
10-14-19,Indian Railway Catering and Tourism Corporation Ltd,637.97,108.79,354.52,14.94,111.95,320,644,101.25,726.65,725.5,127.08
08-20-19,Sterling and Wilson Solar Ltd,2849.64,1.02,0.89,0.3,0.85,780,700,-10.26,282,283.15,-63.85
08-19-19,Spandana Sphoorty Financial Ltd,1189.85,3.11,0.55,0.09,1.05,856,824,-3.74,248.2,248.2,-71
08-08-19,Affle (India) Ltd,459,55.31,198.69,10.96,86.49,745,929.9,24.82,"1,975.30","1,972.30",165.14
07-04-19,Indiamart Intermesh Ltd,475.59,14.92,15.78,3.03,12.95,973,"1,180.00",21.27,"2,574.00","2,570.20",164.54
05-08-19,Neogen Chemicals Ltd,132.35,30.49,113.88,16.06,41.18,215,251,16.74,"1,420.00","1,420.50",560.47
04-16-19,Polycab India Ltd,1345.26,92.44,110.42,4.65,51.96,538,633,17.66,"6,649.05","6,644.00","1,135.88"
04-15-19,Metropolis Healthcare Ltd,1204.29,8.88,3.03,2.21,5.84,880,960,9.09,"2,060.80","2,055.70",134.18
04-11-19,Rail Vikas Nigam Ltd,477.11,1.36,0.8,2.93,1.83,19,19,0,344.55,344.45,"1,713.42"
04-01-19,Embassy Office Parks REIT,4750,2.15,3.09,0,2.57,300,300,0,385,384.76,28.33
03-29-19,MSTC Ltd,211.04,0.29,1.71,2.18,0.7,120,111,-7.5,470.9,470.3,292.42
02-07-19,Chalet Hotels Ltd,1641.18,4.66,1.1,0.03,1.57,280,291,3.93,879.2,878.35,214
02-04-19,Xelpmoc Design and Technologies Ltd,23,1.24,7.69,2.64,3.25,66,56,-15.15,91.73,91.45,38.98
10-08-18,AAVAS Financiers Ltd,1640.32,2.77,0.26,0.25,0.97,821,758,-7.67,"1,713.35","1,712.80",108.69
10-10-18,Garden Reach Shipbuilders & Engineers Ltd,343.59,1.81,0.31,0.24,1.02,118,104,-11.86,"2,515.75","2,516.90","2,031.99"
09-28-18,Ircon International Ltd,466.94,12.29,4.92,10.07,9.9,475,410.3,-13.62,167.25,167.41,-64.79
08-23-18,CreditAccess Grameen Ltd,1131.19,5.52,0.98,0.88,2.22,422,385,-8.77,"1,281.00","1,279.80",203.55
08-06-18,HDFC Asset Management Company Ltd,2800.33,192.26,195.15,6.73,83.06,"1,100.00","1,739.00",58.09,"5,490.45","5,496.00",399.13
07-30-18,TCNS Clothing Co. Ltd,1125.13,13.47,5.08,0.67,5.27,716,715,-0.14,583.9,583.95,-18.45
07-06-18,Varroc Engineering Ltd,1954.96,9.16,2.45,0.95,3.59,967,"1,032.00",6.72,520,520,-46.23
07-02-18,Fine Organic Industries Ltd,600.17,12.86,21.01,1.62,8.99,783,815,4.09,"4,838.40","4,848.50",517.93
07-02-18,Rites Ltd,460.51,71.72,194.56,15.74,67.24,185,190,2.7,251.35,250.5,35.86
05-21-18,Indostar Capital Finance Ltd,1844,16.08,6.91,1.48,6.8,572,600,4.9,275.2,275.8,-51.89
04-09-18,Lemon Tree Hotels Ltd,1038.68,3.89,0.12,0.12,1.19,56,61.6,10,145.5,145.25,159.82
04-04-18,ICICI Securities Ltd,3514.85,1.04,0.36,0.88,0.78,520,431.1,-17.1,895.7,896.2,72.25
04-04-18,Mishra Dhatu Nigam Ltd (MIDHANI),435.02,1.96,0.13,0.72,1.21,90,87,-3.33,389.9,389.5,333.22
04-02-18,Sandhar Technologies Ltd,512.48,14.49,6.39,1.42,6.19,332,345,3.92,422.35,421.85,27.21
03-28-18,Hindustan Aeronautics Ltd (HAL),4113.13,1.73,0.03,0.39,0.99,"1,215.00","1,169.00",-3.79,"4,335.00","4,334.80",256.79
04-02-18,Dharan Infra EPC Ltd,77.4,1.55,3.44,2.01,2.54,180,136,-24.44,0.47,0.42,-99.74
03-27-18,Bandhan Bank Ltd,4473.02,38.67,13.89,1.2,14.63,375,485,29.33,167.2,166.73,-55.41
03-23-18,Bharat Dynamics Ltd,952.79,1.5,0.5,1.41,1.3,428,360,-15.89,"1,476.00","1,479.50",244.86
03-09-18,H.G. Infra Engineering Ltd,462,8.37,4.97,3.08,4.98,270,270,0,995,994.9,268.52
02-26-18,Aster DM Healthcare Ltd,980.14,2.1,0.55,1.18,1.31,190,182.1,-4.16,589.35,589.25,210.18
02-08-18,Galaxy Surfactants Ltd,937.09,54.27,6.96,6.01,20,"1,480.00","1,520.00",2.7,"2,385.00","2,379.60",61.15
01-30-18,Amber Enterprises India Ltd,599.57,174.99,519.26,11.65,165.42,859,"1,180.00",37.37,"6,855.20","6,840.00",698.04
01-29-18,Newgen Software Technologies Ltd,424.62,15.62,5.52,5.18,8.25,245,253,3.27,868.4,867.1,254.45
01-22-18,Apollo Micro Systems Ltd,156,101.93,958.07,40.19,248.51,275,478,73.82,185.3,185.31,-32.62
12-29-17,Astron Paper & Board Mill Ltd,69.83,103.36,396.99,77.93,243.29,50,114,128,14.75,14.73,-70.5
12-18-17,Future Supply Chain Solutions Ltd,649.7,12.36,11.15,3.28,7.56,664,674,1.51,2.39,2.23,-99.64
12-15-17,Shalby Ltd,504.8,4.34,0.42,2.98,2.82,248,237,-4.44,204.15,203.95,-17.68
11-17-17,HDFC Life Insurance Company Ltd,8695,16.6,2.29,0.94,4.9,290,311,7.24,761.45,760.45,162.57
11-14-17,Khadim India Ltd,543.06,2.44,0.18,2.33,1.9,750,727,-3.07,261.75,262.2,-65.1
11-13-17,New India Assurance Company Ltd,9466.98,2.34,0.12,0.11,1.19,800,748.9,-6.39,187.35,186.76,-76.58
11-10-17,Mahindra Logistics Ltd,828.88,15.6,2.07,6.1,7.9,429,432,0.7,326.5,328.6,-23.89
11-06-17,Nippon Life India Asset Management Ltd,1542.24,118.4,209.44,5.65,81.54,252,294,16.67,806,809.6,219.84
10-25-17,General Insurance Corporation of India Ltd,11175.8,2.25,0.22,0.63,1.38,912,850,-6.8,396.2,395.5,-56.56
10-23-17,Indian Energy Exchange Ltd,1000.73,2.56,0.85,2.61,2.28,"1,650.00","1,500.00",-9.09,137.85,137.64,-91.65
10-18-17,MAS Financial Services Ltd,460.04,148.33,378.53,15.97,128.39,459,660,43.79,301.85,301.3,-34.24
10-16-17,Godrej Agrovet Ltd,1157.31,150.96,236.04,7.67,95.41,460,621,35,794.9,794.45,72.8
10-05-17,Prataap Snacks Ltd,481.56,76.89,101.15,8.48,47.39,938,"1,250.00",33.26,904.45,904.3,-3.58
10-03-17,SBI Life Insurance Company Ltd,8386.4,12.56,0.7,0.85,3.58,700,733.3,4.76,"1,843.20","1,840.80",163.31
09-27-17,ICICI Lombard General Insurance Company Ltd,5700.94,8.17,0.83,1.23,2.98,661,650,-1.66,"1,897.55","1,897.00",187.07
09-25-17,Capacit'e Infraprojects Ltd,400,131.32,638.05,17.57,183.03,250,399,59.6,291,291.5,16.4
